mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.6547341346740723,0.2512445719043101,0.6665071646372477,0.1355889609004813,2.149040968772117,{'C': 2.1490409687721175},0.8486,0.844,0.8476,0.8467333333333333,0.0019754043186705,46
29.60581970214844,3.4061384101269514,0.614838441212972,0.0375526161471226,34.98721425798491,{'C': 34.98721425798491},0.8438,0.8402,0.8436,0.8425333333333334,0.0016519348924485,79
8.172050952911377,0.1771706760299843,0.5647130807240804,0.0099061952861144,9.320123381161569,{'C': 9.320123381161567},0.8466,0.8406,0.8452,0.8441333333333333,0.0025629843715654,69
0.9568222363789876,0.0151932109143714,0.6354612509409586,0.0393164150738866,0.2248037681735736,{'C': 0.2248037681735736},0.856,0.8474,0.8538,0.8523999999999999,0.0036478304054144,14
26.43378726641337,0.4703864766029318,1.283149321873983,0.1331218170396344,33.54082893619704,{'C': 33.54082893619704},0.8434,0.8404,0.8438,0.8425333333333334,0.0015173075568987,79
1.3681491216023762,0.0208473029354836,0.588259776433309,0.0226054660982273,0.843819072455088,{'C': 0.843819072455088},0.8514,0.8466,0.8524,0.8501333333333333,0.002531578339473,31
0.8711148897806803,0.0465446096887654,0.8314408461252848,0.047524426913936,0.0202223042797264,{'C': 0.020222304279726468},0.849,0.8414,0.8462,0.8455333333333334,0.0031382939455839,55
0.9070436159769694,0.0339004246764664,0.9450730482737224,0.0413628605810967,0.0113013163517916,{'C': 0.011301316351791685},0.839,0.8388,0.8416,0.8398,0.0012754084313139,97
1.5955626964569092,0.1905203831743075,0.6485915978749593,0.0270067423215506,0.7214094135530977,{'C': 0.7214094135530977},0.8518,0.8472,0.852,0.8503333333333333,0.0022171052197754,29
2.9173854986826577,0.2678952971222761,0.7146995862325033,0.1448344411870561,2.223665736620347,{'C': 2.223665736620347},0.848,0.8442,0.8478,0.8466666666666667,0.0017461067804945,47
0.8809389273325602,0.0404159132506723,0.7035239537556967,0.0244654327679013,0.1099619736175436,{'C': 0.10996197361754365},0.8574,0.849,0.8558,0.8540666666666666,0.0036417334089994,4
4.931646267573039,0.5465130465257803,0.7172804673512777,0.1367257591683326,4.853970339906212,{'C': 4.853970339906212},0.8482,0.841,0.8446,0.8446000000000001,0.0029393876913398,62
1.0013807614644368,0.1446380821496694,1.0663985411326091,0.1590928234620179,0.0137757384894404,{'C': 0.013775738489440435},0.8446,0.8388,0.8446,0.8426666666666667,0.0027341462205879,73
2.7807308038075766,0.4266722437545704,1.2484274705251055,0.5934817312785509,2.013316364663776,{'C': 2.0133163646637757},0.8492,0.8448,0.8476,0.8472,0.0018184242262647,43
2.2823410828908286,0.2151262239654349,1.3439481258392334,0.4546233450770988,1.3976690836395207,{'C': 1.3976690836395207},0.8494,0.8436,0.8492,0.8474,0.0026882460204874,41
1.1311482588450117,0.0146933796935445,2.4278844197591147,0.0360223724506663,0.1671704841286768,{'C': 0.16717048412867686},0.8572,0.848,0.8552,0.8534666666666667,0.003950808637341,7
1.562302827835083,0.2862947135145939,1.645231008529663,0.1762006835546367,0.3188041702072601,{'C': 0.31880417020726015},0.8542,0.8478,0.8524,0.8514666666666667,0.002694851057521,23
0.9785349369049072,0.0377481457189328,2.194166978200277,0.216815849668209,0.0346716428982522,{'C': 0.03467164289825226},0.8538,0.8426,0.8492,0.8485333333333335,0.0045966171135835,35
3.524337212244669,0.2391455689402785,1.4073445002237956,0.4249685875052888,2.495138000223363,{'C': 2.495138000223363},0.8484,0.8436,0.846,0.8460000000000001,0.0019595917942265,52
2.2772321701049805,0.2438843500524128,1.6996728579203289,0.3802409897721953,1.104224453291622,{'C': 1.104224453291622},0.8496,0.845,0.8522,0.8489333333333332,0.0029769484749021,33
1.319473107655843,0.02489947774446,2.0702014764149985,0.2309364575940619,0.3222620491950416,{'C': 0.32226204919504164},0.8544,0.8482,0.8522,0.8515999999999999,0.0025664502073227,21
1.2095752557118733,0.2368833405942943,1.659466028213501,0.2368738840932578,0.1219801501638717,{'C': 0.12198015016387172},0.8578,0.85,0.8568,0.8548666666666667,0.0034653843782312,1
